median_household_income,city
47750,East Galesburg
47708,Mount Auburn
47688,Shannon
47656,Tennessee
47639,Iroquois
47632,Marissa
47528,Long Lake
47527,Hamilton
47500,Biggsville
47500,Glasgow
47500,Table Grove
47448,Lanark
47434,Chillicothe
47396,Richmond
47361,Cleveland
47361,Tonica
47321,Harwood Heights
47212,Calumet Park
47212,Yates City
47188,Stronghurst
47174,Toluca
47121,Pontoon Beach
4783,Plainville
4783,Weldon
478,Ingalls Park
46984,Lynwood
46953,Green Valley
46944,Chapin
46932,Thornton
46922,Morrison
46875,Compton
46875,Freeman Spur
46875,Kangley
46875,Opdyke
46819,Chicago Ridge
46806,Elsah
46705,Tuscola
46667,Norris
46667,Palmer
46667,Scales Mound
46630,Jerome
46563,Crainville
46558,Belleville
46538,Franklin Grove
46518,Norwood
46500,Anchor
46500,Wenona
46477,Evansville
46422,Ottawa
46250,Bureau Junction Village
46250,Long Point
46250,Ohio
46250,Old Ripley
46250,Sammons Point
46250,Topeka
46184,Dolton
46176,Dupo
46119,Rosemont
4642,Peoria
4626,University Park
460,Milton
45990,Wayne City
45983,Waukegan
45938,Du Bois
45938,New Milford
45938,Owaneco
45903,Granville
45833,Apple Canyon Lake
45833,New Bedford
45811,Galena
45804,Liberty
45800,Blandinsville
45697,Melrose Park
45646,Schiller Park
45625,Ava
45625,Emington
45625,Hammond
45625,Seaton
45615,Bunker Hill
45500,Ivesdale
45500,Sparland
45455,Raymond
45391,Warsaw
45313,Godley
45313,Tower Hill
45278,Virginia
45250,Dixon
45208,Annawan
45179,Harmon
45125,Golden
45119,Onarga
458,River Grove
450,Nashville
450,Spring Valley
450,Winchester
44907,Saint Anne
44821,Crescent City
44811,Virden
44792,Victoria
44750,Bryant
44750,Potomac
44722,Keensburg
44706,Dieterich
44688,Humboldt
44688,Vergennes
44674,Effingham
44671,Prophetstown
44647,Silvis
44643,Hebron
44593,Round Lake Park
44583,Kingston Mines
44500,Cullom
44484,Matherville
44461,West Peoria
44454,Mendota
44408,Rossville
44375,London Mills
44375,Sainte Marie
44375,Sciota
44327,Macon
44318,Prairie Du Rocher
44272,Chicago Heights
44219,Leonore
44145,Stoy
44141,Rockwood
44125,Camp Point
44119,Southern View
44107,Vandalia
4463,Claremont
4434,Bluffs
440,Ridge Farm
43988,Kirkwood
43929,Springerton
43906,Melvin
43884,Maywood
43819,Hutsonville
43759,Granite City
43750,Foosland
43750,Irwin
43750,Mill Shoals
43750,Oregon
43750,Shumway
43704,Marietta
43618,Orangeville
43611,Naplate
43558,Paw Paw
43551,Petersburg
43533,Clinton
43500,Oakford
43457,Taylorville
43438,White Ash
43375,Medora
43333,Cooksville
43333,Kinderhook
43333,Mccook
43333,Roxana
43333,Venedy
43333,Wellington
43229,Polo
43125,La Rose
43125,Smithboro
43105,Villa Grove
4375,Wood River
4368,Coulterville
4356,Goreville
4336,Karnak
430,Hartsburg
430,Toulon
42981,Livingston
42917,Hillsdale
42917,Ohlman
42917,Sidell
42888,Roseville
42873,Greenville
42835,Staunton
42818,Lincoln
42818,Tilton
42813,Ellis Grove
42750,Waverly
42679,Rutland
42663,Bradford
42663,Carlinville
42656,Creve Coeur
42578,Oakland
42500,Forest City
42500,Lerna
42500,Maunie
42489,Marion
42469,Rochelle
42456,La Salle
42404,Findlay
42396,Witt
42386,Harvard
42375,Mount Carmel
42364,Westville
42344,Rockbridge
42321,Brocton
42321,Steeleville
42292,Beckemeyer
42278,Sauk Village
42269,Mansfield
42222,Buffalo
42222,Piper City
42188,Russellville
42169,Hartford
42159,Lewistown
42148,Princeton
42143,Malden
4283,Chandlerville
4283,Waltonville
4277,Champaign
4254,Hanover
420,Irving
41993,Mount Morris
41985,Taylor Springs
41964,Westfield
41932,Ramsey
41894,Chrisman
41882,Cicero
41875,Jeisyville
41875,Mound Station Village
41875,Rose Hill
41875,Stonefort
41866,North Chicago
41842,Ashton
41838,Brownstown
41806,West Salem
41786,Lovington
41759,Forreston
41750,Patoka
41667,Oconee
41667,Saint David
41625,Arrowsmith
41607,Nilwood
41598,Gibson City
41563,Greenfield
41563,Lynnville
41528,Wataga
41496,Posen
41458,Alvan Village
41444,East Hazel Crest
41429,Iuka
41413,Sterling
41406,Magnolia
41376,Park City
41316,Girard
41250,Berlin
41250,Eldred
41250,Gilman
41250,Junction City
41250,Kell
41250,Modesto
41250,New Burnside
41250,North Henderson
41250,Raleigh
41164,Kincaid
41154,Energy
41146,Standard
4194,Fairmont
4194,Latham
4171,Altamont
4167,Carrollton
4153,Newton
410,Browns
410,Saint Augustine
40972,Sparta
40938,Nauvoo
40924,Wyoming
40886,Quincy
40857,Aledo
40841,Shelbyville
40833,Augusta
40833,Coatsburg
40833,Newman
40833,Royal Lakes Village
40821,Steger
40781,Bridgeport
40781,Brookport
40692,Amboy
40673,Sheffield
40667,Equality
40654,Rock Island
40647,East Moline
40625,Donovan
40625,Pontoosuc
40625,Sibley
40556,Merrionette Park
40549,Herrin
40521,Ludlow
40515,East Alton
40469,Dallas City
40469,Junction
40417,Ewing
40417,Smithfield
40417,White Heath
40385,New Boston
40323,Dongola
40313,Milan
40313,Woodland
40313,Wyanet
40278,West Point
40250,Altona
40250,Flat Rock
40208,Pittsburg
40206,Canton
40139,Omaha
40107,South Roxana
4089,Nokomis
4083,Saint Peter
4063,Galva
400,Belgium
400,Crab Orchard
400,Edgewood
400,Gladstone
400,Oblong
400,Odin
400,Williamson
39844,Ridott
39786,Stockton
39750,Sims
39732,Galatia
39714,Bethany
39688,Kempton
39623,Riverdale
39588,Decatur
39583,Columbus
39583,Muddy
39583,Mulberry Grove
39568,Beardstown
39545,Fayetteville
39530,Calumet City
39519,East Dubuque
39464,Streator
39453,Irvington
39453,Pinckneyville
39432,Bluford
39375,Dunfermline
39375,Murrayville
39375,Sawyerville
39375,Ursa
39318,Cabery
39258,La Harpe
39219,Adair
39196,Fairmount
39171,Jacksonville
39167,Campbell Hill
39167,Mount Clare
39153,Rushville
3997,Earlville
3923,Blue Island
390,Mason
38997,Salem
38958,Dixmoor
38958,Macedonia
38929,Grandview
38864,Oquawka
38750,Arlington
38750,Burnham
38750,Middletown
38750,New Haven
38750,Richview
38750,Sigel
38692,Robinson
38665,Casey
38621,Chester
38611,Pleasant Hill
38594,Camden
38537,Mount Carroll
38523,Palestine
38500,De Soto
38450,Pocahontas
38443,Hoopeston
38381,Sesser
38357,Dekalb
38295,Montrose
38274,Tovey
38258,Anna
38250,Prairie City
38250,Thawville
38231,Rockford
38229,Central City
38214,Sheldon
38125,Deer Grove
38125,Jeffersonville Village
38125,Wheeler
3856,Schram City
3852,Rantoul
3836,Avon
3829,Thompsonville
380,Loraine
37922,Flora
37917,Danforth
37894,Litchfield
37881,Kewanee
37802,Martinsville
37550,Cuba
37500,Bay View Garden
37500,Muncie
37500,New Grand Chain
37315,Gillespie
37273,Armington
37273,Beecher City
37253,Carmi
37222,Stone Park
3750,Neoga
3719,Albion
370,Naples
36991,Farina
36944,Assumption
36932,Coleta
36923,Toledo
36917,Mount Sterling
36912,Dakota
36875,Creal Springs
36875,Walshville
